Zone_export,Zone_import
MAR_EXPP1,ESP_IMPP2
DZA_EXPP1,ESP_IMPP1
LBY_EXPP1,ITA_IMPP2
TUR_EXPP3,GRC_IMPP1
RUS_EXPP3,DEU_IMPP4
RUS_EXPP2,DEU_IMPP3
NOR_EXPP1,DEU_IMPP1
NOR_EXPP1,DEU_IMPP2
NOR_EXPP3,FRA_IMPP1
NOR_EXPP3,GBR_IMPP2
TUN_EXPP1,ITA_IMPP1
NOR_EXPP2,DEU_IMPP5
NOR_EXPP2,DEU_IMPP2
NOR_EXPP3,GBR_IMPP1
DZA_EXPP2,ESP_IMPP2
DZA_EXPP2,ITA_IMPP1
TUR_EXPP2,GRC_IMPP1
UKR_EXPP1,ROU_IMPP1
UKR_EXPP4,ROU_IMPP2
UKR_EXPP2,HUN_IMPP1
UKR_EXPP3,SVK_IMPP1
UKR_EXPP5,POL_IMPP3
BLR_EXPP1,POL_IMPP1
BLR_EXPP2,POL_IMPP2
BLR_EXPP3,LTU_IMPP1
RUS_EXPP1,EST_IMPP1
RUS_EXPP4,FIN_IMPP1
RUS_EXPP2,EST_IMPP2
YEM_EXP01,BGR_IMP01
YEM_EXP01,DNK_IMP01
YEM_EXP01,EST_IMP01
YEM_EXP01,FIN_IMP01
YEM_EXP01,DEU_IMP01
YEM_EXP01,IRL_IMP01
YEM_EXP01,LVA_IMP01
YEM_EXP01,MLT_IMP01
YEM_EXP01,ROU_IMP01
YEM_EXP01,SVN_IMP01
YEM_EXP01,SWE_IMP01
YEM_EXP01,NOR_IMP01
YEM_EXP01,BEL_IMP01
YEM_EXP01,CYP_IMP01
YEM_EXP01,ESP_IMP01
YEM_EXP01,FRA_IMP01
YEM_EXP01,GBR_IMP01
YEM_EXP01,GRC_IMP01
YEM_EXP01,HRV_IMP01
YEM_EXP01,ITA_IMP01
YEM_EXP01,LTU_IMP01
YEM_EXP01,NLD_IMP01
YEM_EXP01,POL_IMP01
YEM_EXP01,PRT_IMP01
WLF_EXP01,BGR_IMP01
WLF_EXP01,DNK_IMP01
WLF_EXP01,EST_IMP01
WLF_EXP01,FIN_IMP01
WLF_EXP01,DEU_IMP01
WLF_EXP01,IRL_IMP01
WLF_EXP01,LVA_IMP01
WLF_EXP01,MLT_IMP01
WLF_EXP01,ROU_IMP01
WLF_EXP01,SVN_IMP01
WLF_EXP01,SWE_IMP01
WLF_EXP01,NOR_IMP01
WLF_EXP01,BEL_IMP01
WLF_EXP01,CYP_IMP01
WLF_EXP01,ESP_IMP01
WLF_EXP01,FRA_IMP01
WLF_EXP01,GBR_IMP01
WLF_EXP01,GRC_IMP01
WLF_EXP01,HRV_IMP01
WLF_EXP01,ITA_IMP01
WLF_EXP01,LTU_IMP01
WLF_EXP01,NLD_IMP01
WLF_EXP01,POL_IMP01
WLF_EXP01,PRT_IMP01
VGB_EXP01,BGR_IMP01
VGB_EXP01,DNK_IMP01
VGB_EXP01,EST_IMP01
VGB_EXP01,FIN_IMP01
VGB_EXP01,DEU_IMP01
VGB_EXP01,IRL_IMP01
VGB_EXP01,LVA_IMP01
VGB_EXP01,MLT_IMP01
VGB_EXP01,ROU_IMP01
VGB_EXP01,SVN_IMP01
VGB_EXP01,SWE_IMP01
VGB_EXP01,NOR_IMP01
VGB_EXP01,BEL_IMP01
VGB_EXP01,CYP_IMP01
VGB_EXP01,ESP_IMP01
VGB_EXP01,FRA_IMP01
VGB_EXP01,GBR_IMP01
VGB_EXP01,GRC_IMP01
VGB_EXP01,HRV_IMP01
VGB_EXP01,ITA_IMP01
VGB_EXP01,LTU_IMP01
VGB_EXP01,NLD_IMP01
VGB_EXP01,POL_IMP01
VGB_EXP01,PRT_IMP01
VNM_EXP01,BGR_IMP01
VNM_EXP01,DNK_IMP01
VNM_EXP01,EST_IMP01
VNM_EXP01,FIN_IMP01
VNM_EXP01,DEU_IMP01
VNM_EXP01,IRL_IMP01
VNM_EXP01,LVA_IMP01
VNM_EXP01,MLT_IMP01
VNM_EXP01,ROU_IMP01
VNM_EXP01,SVN_IMP01
VNM_EXP01,SWE_IMP01
VNM_EXP01,NOR_IMP01
VNM_EXP01,BEL_IMP01
VNM_EXP01,CYP_IMP01
VNM_EXP01,ESP_IMP01
VNM_EXP01,FRA_IMP01
VNM_EXP01,GBR_IMP01
VNM_EXP01,GRC_IMP01
VNM_EXP01,HRV_IMP01
VNM_EXP01,ITA_IMP01
VNM_EXP01,LTU_IMP01
VNM_EXP01,NLD_IMP01
VNM_EXP01,POL_IMP01
VNM_EXP01,PRT_IMP01
VEN_EXP01,BGR_IMP01
VEN_EXP01,DNK_IMP01
VEN_EXP01,EST_IMP01
VEN_EXP01,FIN_IMP01
VEN_EXP01,DEU_IMP01
VEN_EXP01,IRL_IMP01
VEN_EXP01,LVA_IMP01
VEN_EXP01,MLT_IMP01
VEN_EXP01,ROU_IMP01
VEN_EXP01,SVN_IMP01
VEN_EXP01,SWE_IMP01
VEN_EXP01,NOR_IMP01
VEN_EXP01,BEL_IMP01
VEN_EXP01,CYP_IMP01
VEN_EXP01,ESP_IMP01
VEN_EXP01,FRA_IMP01
VEN_EXP01,GBR_IMP01
VEN_EXP01,GRC_IMP01
VEN_EXP01,HRV_IMP01
VEN_EXP01,ITA_IMP01
VEN_EXP01,LTU_IMP01
VEN_EXP01,NLD_IMP01
VEN_EXP01,POL_IMP01
VEN_EXP01,PRT_IMP01
VUT_EXP01,BGR_IMP01
VUT_EXP01,DNK_IMP01
VUT_EXP01,EST_IMP01
VUT_EXP01,FIN_IMP01
VUT_EXP01,DEU_IMP01
VUT_EXP01,IRL_IMP01
VUT_EXP01,LVA_IMP01
VUT_EXP01,MLT_IMP01
VUT_EXP01,ROU_IMP01
VUT_EXP01,SVN_IMP01
VUT_EXP01,SWE_IMP01
VUT_EXP01,NOR_IMP01
VUT_EXP01,BEL_IMP01
VUT_EXP01,CYP_IMP01
VUT_EXP01,ESP_IMP01
VUT_EXP01,FRA_IMP01
VUT_EXP01,GBR_IMP01
VUT_EXP01,GRC_IMP01
VUT_EXP01,HRV_IMP01
VUT_EXP01,ITA_IMP01
VUT_EXP01,LTU_IMP01
VUT_EXP01,NLD_IMP01
VUT_EXP01,POL_IMP01
VUT_EXP01,PRT_IMP01
URY_EXP01,BGR_IMP01
URY_EXP01,DNK_IMP01
URY_EXP01,EST_IMP01
URY_EXP01,FIN_IMP01
URY_EXP01,DEU_IMP01
URY_EXP01,IRL_IMP01
URY_EXP01,LVA_IMP01
URY_EXP01,MLT_IMP01
URY_EXP01,ROU_IMP01
URY_EXP01,SVN_IMP01
URY_EXP01,SWE_IMP01
URY_EXP01,NOR_IMP01
URY_EXP01,BEL_IMP01
URY_EXP01,CYP_IMP01
URY_EXP01,ESP_IMP01
URY_EXP01,FRA_IMP01
URY_EXP01,GBR_IMP01
URY_EXP01,GRC_IMP01
URY_EXP01,HRV_IMP01
URY_EXP01,ITA_IMP01
URY_EXP01,LTU_IMP01
URY_EXP01,NLD_IMP01
URY_EXP01,POL_IMP01
URY_EXP01,PRT_IMP01
USA_EXP01,BGR_IMP01
USA_EXP01,DNK_IMP01
USA_EXP01,EST_IMP01
USA_EXP01,FIN_IMP01
USA_EXP01,DEU_IMP01
USA_EXP01,IRL_IMP01
USA_EXP01,LVA_IMP01
USA_EXP01,MLT_IMP01
USA_EXP01,ROU_IMP01
USA_EXP01,SVN_IMP01
USA_EXP01,SWE_IMP01
USA_EXP01,NOR_IMP01
USA_EXP01,BEL_IMP01
USA_EXP01,CYP_IMP01
USA_EXP01,ESP_IMP01
USA_EXP01,FRA_IMP01
USA_EXP01,GBR_IMP01
USA_EXP01,GRC_IMP01
USA_EXP01,HRV_IMP01
USA_EXP01,ITA_IMP01
USA_EXP01,LTU_IMP01
USA_EXP01,NLD_IMP01
USA_EXP01,POL_IMP01
USA_EXP01,PRT_IMP01
ARE_EXP01,BGR_IMP01
ARE_EXP01,DNK_IMP01
ARE_EXP01,EST_IMP01
ARE_EXP01,FIN_IMP01
ARE_EXP01,DEU_IMP01
ARE_EXP01,IRL_IMP01
ARE_EXP01,LVA_IMP01
ARE_EXP01,MLT_IMP01
ARE_EXP01,ROU_IMP01
ARE_EXP01,SVN_IMP01
ARE_EXP01,SWE_IMP01
ARE_EXP01,NOR_IMP01
ARE_EXP01,BEL_IMP01
ARE_EXP01,CYP_IMP01
ARE_EXP01,ESP_IMP01
ARE_EXP01,FRA_IMP01
ARE_EXP01,GBR_IMP01
ARE_EXP01,GRC_IMP01
ARE_EXP01,HRV_IMP01
ARE_EXP01,ITA_IMP01
ARE_EXP01,LTU_IMP01
ARE_EXP01,NLD_IMP01
ARE_EXP01,POL_IMP01
ARE_EXP01,PRT_IMP01
UKR_EXP01,BGR_IMP01
UKR_EXP01,DNK_IMP01
UKR_EXP01,EST_IMP01
UKR_EXP01,FIN_IMP01
UKR_EXP01,DEU_IMP01
UKR_EXP01,IRL_IMP01
UKR_EXP01,LVA_IMP01
UKR_EXP01,MLT_IMP01
UKR_EXP01,ROU_IMP01
UKR_EXP01,SVN_IMP01
UKR_EXP01,SWE_IMP01
UKR_EXP01,NOR_IMP01
UKR_EXP01,BEL_IMP01
UKR_EXP01,CYP_IMP01
UKR_EXP01,ESP_IMP01
UKR_EXP01,FRA_IMP01
UKR_EXP01,GBR_IMP01
UKR_EXP01,GRC_IMP01
UKR_EXP01,HRV_IMP01
UKR_EXP01,ITA_IMP01
UKR_EXP01,LTU_IMP01
UKR_EXP01,NLD_IMP01
UKR_EXP01,POL_IMP01
UKR_EXP01,PRT_IMP01
TUR_EXP01,BGR_IMP01
TUR_EXP01,DNK_IMP01
TUR_EXP01,EST_IMP01
TUR_EXP01,FIN_IMP01
TUR_EXP01,DEU_IMP01
TUR_EXP01,IRL_IMP01
TUR_EXP01,LVA_IMP01
TUR_EXP01,MLT_IMP01
TUR_EXP01,ROU_IMP01
TUR_EXP01,SVN_IMP01
TUR_EXP01,SWE_IMP01
TUR_EXP01,NOR_IMP01
TUR_EXP01,BEL_IMP01
TUR_EXP01,CYP_IMP01
TUR_EXP01,ESP_IMP01
TUR_EXP01,FRA_IMP01
TUR_EXP01,GBR_IMP01
TUR_EXP01,GRC_IMP01
TUR_EXP01,HRV_IMP01
TUR_EXP01,ITA_IMP01
TUR_EXP01,LTU_IMP01
TUR_EXP01,NLD_IMP01
TUR_EXP01,POL_IMP01
TUR_EXP01,PRT_IMP01
TUN_EXP01,BGR_IMP01
TUN_EXP01,DNK_IMP01
TUN_EXP01,EST_IMP01
TUN_EXP01,FIN_IMP01
TUN_EXP01,DEU_IMP01
TUN_EXP01,IRL_IMP01
TUN_EXP01,LVA_IMP01
TUN_EXP01,MLT_IMP01
TUN_EXP01,ROU_IMP01
TUN_EXP01,SVN_IMP01
TUN_EXP01,SWE_IMP01
TUN_EXP01,NOR_IMP01
TUN_EXP01,BEL_IMP01
TUN_EXP01,CYP_IMP01
TUN_EXP01,ESP_IMP01
TUN_EXP01,FRA_IMP01
TUN_EXP01,GBR_IMP01
TUN_EXP01,GRC_IMP01
TUN_EXP01,HRV_IMP01
TUN_EXP01,ITA_IMP01
TUN_EXP01,LTU_IMP01
TUN_EXP01,NLD_IMP01
TUN_EXP01,POL_IMP01
TUN_EXP01,PRT_IMP01
TTO_EXP01,BGR_IMP01
TTO_EXP01,DNK_IMP01
TTO_EXP01,EST_IMP01
TTO_EXP01,FIN_IMP01
TTO_EXP01,DEU_IMP01
TTO_EXP01,IRL_IMP01
TTO_EXP01,LVA_IMP01
TTO_EXP01,MLT_IMP01
TTO_EXP01,ROU_IMP01
TTO_EXP01,SVN_IMP01
TTO_EXP01,SWE_IMP01
TTO_EXP01,NOR_IMP01
TTO_EXP01,BEL_IMP01
TTO_EXP01,CYP_IMP01
TTO_EXP01,ESP_IMP01
TTO_EXP01,FRA_IMP01
TTO_EXP01,GBR_IMP01
TTO_EXP01,GRC_IMP01
TTO_EXP01,HRV_IMP01
TTO_EXP01,ITA_IMP01
TTO_EXP01,LTU_IMP01
TTO_EXP01,NLD_IMP01
TTO_EXP01,POL_IMP01
TTO_EXP01,PRT_IMP01
TON_EXP01,BGR_IMP01
TON_EXP01,DNK_IMP01
TON_EXP01,EST_IMP01
TON_EXP01,FIN_IMP01
TON_EXP01,DEU_IMP01
TON_EXP01,IRL_IMP01
TON_EXP01,LVA_IMP01
TON_EXP01,MLT_IMP01
TON_EXP01,ROU_IMP01
TON_EXP01,SVN_IMP01
TON_EXP01,SWE_IMP01
TON_EXP01,NOR_IMP01
TON_EXP01,BEL_IMP01
TON_EXP01,CYP_IMP01
TON_EXP01,ESP_IMP01
TON_EXP01,FRA_IMP01
TON_EXP01,GBR_IMP01
TON_EXP01,GRC_IMP01
TON_EXP01,HRV_IMP01
TON_EXP01,ITA_IMP01
TON_EXP01,LTU_IMP01
TON_EXP01,NLD_IMP01
TON_EXP01,POL_IMP01
TON_EXP01,PRT_IMP01
TGO_EXP01,BGR_IMP01
TGO_EXP01,DNK_IMP01
TGO_EXP01,EST_IMP01
TGO_EXP01,FIN_IMP01
TGO_EXP01,DEU_IMP01
TGO_EXP01,IRL_IMP01
TGO_EXP01,LVA_IMP01
TGO_EXP01,MLT_IMP01
TGO_EXP01,ROU_IMP01
TGO_EXP01,SVN_IMP01
TGO_EXP01,SWE_IMP01
TGO_EXP01,NOR_IMP01
TGO_EXP01,BEL_IMP01
TGO_EXP01,CYP_IMP01
TGO_EXP01,ESP_IMP01
TGO_EXP01,FRA_IMP01
TGO_EXP01,GBR_IMP01
TGO_EXP01,GRC_IMP01
TGO_EXP01,HRV_IMP01
TGO_EXP01,ITA_IMP01
TGO_EXP01,LTU_IMP01
TGO_EXP01,NLD_IMP01
TGO_EXP01,POL_IMP01
TGO_EXP01,PRT_IMP01
TLS_EXP01,BGR_IMP01
TLS_EXP01,DNK_IMP01
TLS_EXP01,EST_IMP01
TLS_EXP01,FIN_IMP01
TLS_EXP01,DEU_IMP01
TLS_EXP01,IRL_IMP01
TLS_EXP01,LVA_IMP01
TLS_EXP01,MLT_IMP01
TLS_EXP01,ROU_IMP01
TLS_EXP01,SVN_IMP01
TLS_EXP01,SWE_IMP01
TLS_EXP01,NOR_IMP01
TLS_EXP01,BEL_IMP01
TLS_EXP01,CYP_IMP01
TLS_EXP01,ESP_IMP01
TLS_EXP01,FRA_IMP01
TLS_EXP01,GBR_IMP01
TLS_EXP01,GRC_IMP01
TLS_EXP01,HRV_IMP01
TLS_EXP01,ITA_IMP01
TLS_EXP01,LTU_IMP01
TLS_EXP01,NLD_IMP01
TLS_EXP01,POL_IMP01
TLS_EXP01,PRT_IMP01
THA_EXP01,BGR_IMP01
THA_EXP01,DNK_IMP01
THA_EXP01,EST_IMP01
THA_EXP01,FIN_IMP01
THA_EXP01,DEU_IMP01
THA_EXP01,IRL_IMP01
THA_EXP01,LVA_IMP01
THA_EXP01,MLT_IMP01
THA_EXP01,ROU_IMP01
THA_EXP01,SVN_IMP01
THA_EXP01,SWE_IMP01
THA_EXP01,NOR_IMP01
THA_EXP01,BEL_IMP01
THA_EXP01,CYP_IMP01
THA_EXP01,ESP_IMP01
THA_EXP01,FRA_IMP01
THA_EXP01,GBR_IMP01
THA_EXP01,GRC_IMP01
THA_EXP01,HRV_IMP01
THA_EXP01,ITA_IMP01
THA_EXP01,LTU_IMP01
THA_EXP01,NLD_IMP01
THA_EXP01,POL_IMP01
THA_EXP01,PRT_IMP01
TZA_EXP01,BGR_IMP01
TZA_EXP01,DNK_IMP01
TZA_EXP01,EST_IMP01
TZA_EXP01,FIN_IMP01
TZA_EXP01,DEU_IMP01
TZA_EXP01,IRL_IMP01
TZA_EXP01,LVA_IMP01
TZA_EXP01,MLT_IMP01
TZA_EXP01,ROU_IMP01
TZA_EXP01,SVN_IMP01
TZA_EXP01,SWE_IMP01
TZA_EXP01,NOR_IMP01
TZA_EXP01,BEL_IMP01
TZA_EXP01,CYP_IMP01
TZA_EXP01,ESP_IMP01
TZA_EXP01,FRA_IMP01
TZA_EXP01,GBR_IMP01
TZA_EXP01,GRC_IMP01
TZA_EXP01,HRV_IMP01
TZA_EXP01,ITA_IMP01
TZA_EXP01,LTU_IMP01
TZA_EXP01,NLD_IMP01
TZA_EXP01,POL_IMP01
TZA_EXP01,PRT_IMP01
TWN_EXP01,BGR_IMP01
TWN_EXP01,DNK_IMP01
TWN_EXP01,EST_IMP01
TWN_EXP01,FIN_IMP01
TWN_EXP01,DEU_IMP01
TWN_EXP01,IRL_IMP01
TWN_EXP01,LVA_IMP01
TWN_EXP01,MLT_IMP01
TWN_EXP01,ROU_IMP01
TWN_EXP01,SVN_IMP01
TWN_EXP01,SWE_IMP01
TWN_EXP01,NOR_IMP01
TWN_EXP01,BEL_IMP01
TWN_EXP01,CYP_IMP01
TWN_EXP01,ESP_IMP01
TWN_EXP01,FRA_IMP01
TWN_EXP01,GBR_IMP01
TWN_EXP01,GRC_IMP01
TWN_EXP01,HRV_IMP01
TWN_EXP01,ITA_IMP01
TWN_EXP01,LTU_IMP01
TWN_EXP01,NLD_IMP01
TWN_EXP01,POL_IMP01
TWN_EXP01,PRT_IMP01
SYR_EXP01,BGR_IMP01
SYR_EXP01,DNK_IMP01
SYR_EXP01,EST_IMP01
SYR_EXP01,FIN_IMP01
SYR_EXP01,DEU_IMP01
SYR_EXP01,IRL_IMP01
SYR_EXP01,LVA_IMP01
SYR_EXP01,MLT_IMP01
SYR_EXP01,ROU_IMP01
SYR_EXP01,SVN_IMP01
SYR_EXP01,SWE_IMP01
SYR_EXP01,NOR_IMP01
SYR_EXP01,BEL_IMP01
SYR_EXP01,CYP_IMP01
SYR_EXP01,ESP_IMP01
SYR_EXP01,FRA_IMP01
SYR_EXP01,GBR_IMP01
SYR_EXP01,GRC_IMP01
SYR_EXP01,HRV_IMP01
SYR_EXP01,ITA_IMP01
SYR_EXP01,LTU_IMP01
SYR_EXP01,NLD_IMP01
SYR_EXP01,POL_IMP01
SYR_EXP01,PRT_IMP01
SUR_EXP01,BGR_IMP01
SUR_EXP01,DNK_IMP01
SUR_EXP01,EST_IMP01
SUR_EXP01,FIN_IMP01
SUR_EXP01,DEU_IMP01
SUR_EXP01,IRL_IMP01
SUR_EXP01,LVA_IMP01
SUR_EXP01,MLT_IMP01
SUR_EXP01,ROU_IMP01
SUR_EXP01,SVN_IMP01
SUR_EXP01,SWE_IMP01
SUR_EXP01,NOR_IMP01
SUR_EXP01,BEL_IMP01
SUR_EXP01,CYP_IMP01
SUR_EXP01,ESP_IMP01
SUR_EXP01,FRA_IMP01
SUR_EXP01,GBR_IMP01
SUR_EXP01,GRC_IMP01
SUR_EXP01,HRV_IMP01
SUR_EXP01,ITA_IMP01
SUR_EXP01,LTU_IMP01
SUR_EXP01,NLD_IMP01
SUR_EXP01,POL_IMP01
SUR_EXP01,PRT_IMP01
SDN_EXP01,BGR_IMP01
SDN_EXP01,DNK_IMP01
SDN_EXP01,EST_IMP01
SDN_EXP01,FIN_IMP01
SDN_EXP01,DEU_IMP01
SDN_EXP01,IRL_IMP01
SDN_EXP01,LVA_IMP01
SDN_EXP01,MLT_IMP01
SDN_EXP01,ROU_IMP01
SDN_EXP01,SVN_IMP01
SDN_EXP01,SWE_IMP01
SDN_EXP01,NOR_IMP01
SDN_EXP01,BEL_IMP01
SDN_EXP01,CYP_IMP01
SDN_EXP01,ESP_IMP01
SDN_EXP01,FRA_IMP01
SDN_EXP01,GBR_IMP01
SDN_EXP01,GRC_IMP01
SDN_EXP01,HRV_IMP01
SDN_EXP01,ITA_IMP01
SDN_EXP01,LTU_IMP01
SDN_EXP01,NLD_IMP01
SDN_EXP01,POL_IMP01
SDN_EXP01,PRT_IMP01
LKA_EXP01,BGR_IMP01
LKA_EXP01,DNK_IMP01
LKA_EXP01,EST_IMP01
LKA_EXP01,FIN_IMP01
LKA_EXP01,DEU_IMP01
LKA_EXP01,IRL_IMP01
LKA_EXP01,LVA_IMP01
LKA_EXP01,MLT_IMP01
LKA_EXP01,ROU_IMP01
LKA_EXP01,SVN_IMP01
LKA_EXP01,SWE_IMP01
LKA_EXP01,NOR_IMP01
LKA_EXP01,BEL_IMP01
LKA_EXP01,CYP_IMP01
LKA_EXP01,ESP_IMP01
LKA_EXP01,FRA_IMP01
LKA_EXP01,GBR_IMP01
LKA_EXP01,GRC_IMP01
LKA_EXP01,HRV_IMP01
LKA_EXP01,ITA_IMP01
LKA_EXP01,LTU_IMP01
LKA_EXP01,NLD_IMP01
LKA_EXP01,POL_IMP01
LKA_EXP01,PRT_IMP01
ZAF_EXP01,BGR_IMP01
ZAF_EXP01,DNK_IMP01
ZAF_EXP01,EST_IMP01
ZAF_EXP01,FIN_IMP01
ZAF_EXP01,DEU_IMP01
ZAF_EXP01,IRL_IMP01
ZAF_EXP01,LVA_IMP01
ZAF_EXP01,MLT_IMP01
ZAF_EXP01,ROU_IMP01
ZAF_EXP01,SVN_IMP01
ZAF_EXP01,SWE_IMP01
ZAF_EXP01,NOR_IMP01
ZAF_EXP01,BEL_IMP01
ZAF_EXP01,CYP_IMP01
ZAF_EXP01,ESP_IMP01
ZAF_EXP01,FRA_IMP01
ZAF_EXP01,GBR_IMP01
ZAF_EXP01,GRC_IMP01
ZAF_EXP01,HRV_IMP01
ZAF_EXP01,ITA_IMP01
ZAF_EXP01,LTU_IMP01
ZAF_EXP01,NLD_IMP01
ZAF_EXP01,POL_IMP01
ZAF_EXP01,PRT_IMP01
SOM_EXP01,BGR_IMP01
SOM_EXP01,DNK_IMP01
SOM_EXP01,EST_IMP01
SOM_EXP01,FIN_IMP01
SOM_EXP01,DEU_IMP01
SOM_EXP01,IRL_IMP01
SOM_EXP01,LVA_IMP01
SOM_EXP01,MLT_IMP01
SOM_EXP01,ROU_IMP01
SOM_EXP01,SVN_IMP01
SOM_EXP01,SWE_IMP01
SOM_EXP01,NOR_IMP01
SOM_EXP01,BEL_IMP01
SOM_EXP01,CYP_IMP01
SOM_EXP01,ESP_IMP01
SOM_EXP01,FRA_IMP01
SOM_EXP01,GBR_IMP01
SOM_EXP01,GRC_IMP01
SOM_EXP01,HRV_IMP01
SOM_EXP01,ITA_IMP01
SOM_EXP01,LTU_IMP01
SOM_EXP01,NLD_IMP01
SOM_EXP01,POL_IMP01
SOM_EXP01,PRT_IMP01
SGP_EXP01,BGR_IMP01
SGP_EXP01,DNK_IMP01
SGP_EXP01,EST_IMP01
SGP_EXP01,FIN_IMP01
SGP_EXP01,DEU_IMP01
SGP_EXP01,IRL_IMP01
SGP_EXP01,LVA_IMP01
SGP_EXP01,MLT_IMP01
SGP_EXP01,ROU_IMP01
SGP_EXP01,SVN_IMP01
SGP_EXP01,SWE_IMP01
SGP_EXP01,NOR_IMP01
SGP_EXP01,BEL_IMP01
SGP_EXP01,CYP_IMP01
SGP_EXP01,ESP_IMP01
SGP_EXP01,FRA_IMP01
SGP_EXP01,GBR_IMP01
SGP_EXP01,GRC_IMP01
SGP_EXP01,HRV_IMP01
SGP_EXP01,ITA_IMP01
SGP_EXP01,LTU_IMP01
SGP_EXP01,NLD_IMP01
SGP_EXP01,POL_IMP01
SGP_EXP01,PRT_IMP01
SLE_EXP01,BGR_IMP01
SLE_EXP01,DNK_IMP01
SLE_EXP01,EST_IMP01
SLE_EXP01,FIN_IMP01
SLE_EXP01,DEU_IMP01
SLE_EXP01,IRL_IMP01
SLE_EXP01,LVA_IMP01
SLE_EXP01,MLT_IMP01
SLE_EXP01,ROU_IMP01
SLE_EXP01,SVN_IMP01
SLE_EXP01,SWE_IMP01
SLE_EXP01,NOR_IMP01
SLE_EXP01,BEL_IMP01
SLE_EXP01,CYP_IMP01
SLE_EXP01,ESP_IMP01
SLE_EXP01,FRA_IMP01
SLE_EXP01,GBR_IMP01
SLE_EXP01,GRC_IMP01
SLE_EXP01,HRV_IMP01
SLE_EXP01,ITA_IMP01
SLE_EXP01,LTU_IMP01
SLE_EXP01,NLD_IMP01
SLE_EXP01,POL_IMP01
SLE_EXP01,PRT_IMP01
SYC_EXP01,BGR_IMP01
SYC_EXP01,DNK_IMP01
SYC_EXP01,EST_IMP01
SYC_EXP01,FIN_IMP01
SYC_EXP01,DEU_IMP01
SYC_EXP01,IRL_IMP01
SYC_EXP01,LVA_IMP01
SYC_EXP01,MLT_IMP01
SYC_EXP01,ROU_IMP01
SYC_EXP01,SVN_IMP01
SYC_EXP01,SWE_IMP01
SYC_EXP01,NOR_IMP01
SYC_EXP01,BEL_IMP01
SYC_EXP01,CYP_IMP01
SYC_EXP01,ESP_IMP01
SYC_EXP01,FRA_IMP01
SYC_EXP01,GBR_IMP01
SYC_EXP01,GRC_IMP01
SYC_EXP01,HRV_IMP01
SYC_EXP01,ITA_IMP01
SYC_EXP01,LTU_IMP01
SYC_EXP01,NLD_IMP01
SYC_EXP01,POL_IMP01
SYC_EXP01,PRT_IMP01
SEN_EXP01,BGR_IMP01
SEN_EXP01,DNK_IMP01
SEN_EXP01,EST_IMP01
SEN_EXP01,FIN_IMP01
SEN_EXP01,DEU_IMP01
