Zone_import,Zone_demand
BEL_IMPP1,AUT_DEM01
BEL_IMPP1,BEL_DEM01
BEL_IMPP1,BGR_DEM01
BEL_IMPP1,HRV_DEM01
BEL_IMPP1,CZE_DEM01
BEL_IMPP1,DNK_DEM01
BEL_IMPP1,EST_DEM01
BEL_IMPP1,FIN_DEM01
BEL_IMPP1,FRA_DEM01
BEL_IMPP1,DEU_DEM01
BEL_IMPP1,GRC_DEM01
BEL_IMPP1,HUN_DEM01
BEL_IMPP1,ITA_DEM01
BEL_IMPP1,LVA_DEM01
BEL_IMPP1,LTU_DEM01
BEL_IMPP1,LUX_DEM01
BEL_IMPP1,NLD_DEM01
BEL_IMPP1,POL_DEM01
BEL_IMPP1,PRT_DEM01
BEL_IMPP1,ROU_DEM01
BEL_IMPP1,SVK_DEM01
BEL_IMPP1,SVN_DEM01
BEL_IMPP1,ESP_DEM01
BEL_IMPP1,SWE_DEM01
BEL_IMPP1,GBR_DEM01
BEL_IMPP1,NOR_DEM01
BEL_IMPP1,CHE_DEM01
DEU_IMPP1,AUT_DEM01
DEU_IMPP1,BEL_DEM01
DEU_IMPP1,BGR_DEM01
DEU_IMPP1,HRV_DEM01
DEU_IMPP1,CZE_DEM01
DEU_IMPP1,DNK_DEM01
DEU_IMPP1,EST_DEM01
DEU_IMPP1,FIN_DEM01
DEU_IMPP1,FRA_DEM01
DEU_IMPP1,DEU_DEM01
DEU_IMPP1,GRC_DEM01
DEU_IMPP1,HUN_DEM01
DEU_IMPP1,ITA_DEM01
DEU_IMPP1,LVA_DEM01
DEU_IMPP1,LTU_DEM01
DEU_IMPP1,LUX_DEM01
DEU_IMPP1,NLD_DEM01
DEU_IMPP1,POL_DEM01
DEU_IMPP1,PRT_DEM01
DEU_IMPP1,ROU_DEM01
DEU_IMPP1,SVK_DEM01
DEU_IMPP1,SVN_DEM01
DEU_IMPP1,ESP_DEM01
DEU_IMPP1,SWE_DEM01
DEU_IMPP1,GBR_DEM01
DEU_IMPP1,NOR_DEM01
DEU_IMPP1,CHE_DEM01
DEU_IMPP2,AUT_DEM01
DEU_IMPP2,BEL_DEM01
DEU_IMPP2,BGR_DEM01
DEU_IMPP2,HRV_DEM01
DEU_IMPP2,CZE_DEM01
DEU_IMPP2,DNK_DEM01
DEU_IMPP2,EST_DEM01
DEU_IMPP2,FIN_DEM01
DEU_IMPP2,FRA_DEM01
DEU_IMPP2,DEU_DEM01
DEU_IMPP2,GRC_DEM01
DEU_IMPP2,HUN_DEM01
DEU_IMPP2,ITA_DEM01
DEU_IMPP2,LVA_DEM01
DEU_IMPP2,LTU_DEM01
DEU_IMPP2,LUX_DEM01
DEU_IMPP2,NLD_DEM01
DEU_IMPP2,POL_DEM01
DEU_IMPP2,PRT_DEM01
DEU_IMPP2,ROU_DEM01
DEU_IMPP2,SVK_DEM01
DEU_IMPP2,SVN_DEM01
DEU_IMPP2,ESP_DEM01
DEU_IMPP2,SWE_DEM01
DEU_IMPP2,GBR_DEM01
DEU_IMPP2,NOR_DEM01
DEU_IMPP2,CHE_DEM01
DEU_IMPP3,AUT_DEM01
DEU_IMPP3,BEL_DEM01
DEU_IMPP3,BGR_DEM01
DEU_IMPP3,HRV_DEM01
DEU_IMPP3,CZE_DEM01
DEU_IMPP3,DNK_DEM01
DEU_IMPP3,EST_DEM01
DEU_IMPP3,FIN_DEM01
DEU_IMPP3,FRA_DEM01
DEU_IMPP3,DEU_DEM01
DEU_IMPP3,GRC_DEM01
DEU_IMPP3,HUN_DEM01
DEU_IMPP3,ITA_DEM01
DEU_IMPP3,LVA_DEM01
DEU_IMPP3,LTU_DEM01
DEU_IMPP3,LUX_DEM01
DEU_IMPP3,NLD_DEM01
DEU_IMPP3,POL_DEM01
DEU_IMPP3,PRT_DEM01
DEU_IMPP3,ROU_DEM01
DEU_IMPP3,SVK_DEM01
DEU_IMPP3,SVN_DEM01
DEU_IMPP3,ESP_DEM01
DEU_IMPP3,SWE_DEM01
DEU_IMPP3,GBR_DEM01
DEU_IMPP3,NOR_DEM01
DEU_IMPP3,CHE_DEM01
DEU_IMPP4,AUT_DEM01
DEU_IMPP4,BEL_DEM01
DEU_IMPP4,BGR_DEM01
DEU_IMPP4,HRV_DEM01
DEU_IMPP4,CZE_DEM01
DEU_IMPP4,DNK_DEM01
DEU_IMPP4,EST_DEM01
DEU_IMPP4,FIN_DEM01
DEU_IMPP4,FRA_DEM01
DEU_IMPP4,DEU_DEM01
DEU_IMPP4,GRC_DEM01
DEU_IMPP4,HUN_DEM01
DEU_IMPP4,ITA_DEM01
DEU_IMPP4,LVA_DEM01
DEU_IMPP4,LTU_DEM01
DEU_IMPP4,LUX_DEM01
DEU_IMPP4,NLD_DEM01
DEU_IMPP4,POL_DEM01
DEU_IMPP4,PRT_DEM01
DEU_IMPP4,ROU_DEM01
DEU_IMPP4,SVK_DEM01
DEU_IMPP4,SVN_DEM01
DEU_IMPP4,ESP_DEM01
DEU_IMPP4,SWE_DEM01
DEU_IMPP4,GBR_DEM01
DEU_IMPP4,NOR_DEM01
DEU_IMPP4,CHE_DEM01
DEU_IMPP5,AUT_DEM01
DEU_IMPP5,BEL_DEM01
DEU_IMPP5,BGR_DEM01
DEU_IMPP5,HRV_DEM01
DEU_IMPP5,CZE_DEM01
DEU_IMPP5,DNK_DEM01
DEU_IMPP5,EST_DEM01
DEU_IMPP5,FIN_DEM01
DEU_IMPP5,FRA_DEM01
DEU_IMPP5,DEU_DEM01
DEU_IMPP5,GRC_DEM01
DEU_IMPP5,HUN_DEM01
DEU_IMPP5,ITA_DEM01
DEU_IMPP5,LVA_DEM01
DEU_IMPP5,LTU_DEM01
DEU_IMPP5,LUX_DEM01
DEU_IMPP5,NLD_DEM01
DEU_IMPP5,POL_DEM01
DEU_IMPP5,PRT_DEM01
DEU_IMPP5,ROU_DEM01
DEU_IMPP5,SVK_DEM01
DEU_IMPP5,SVN_DEM01
DEU_IMPP5,ESP_DEM01
DEU_IMPP5,SWE_DEM01
DEU_IMPP5,GBR_DEM01
DEU_IMPP5,NOR_DEM01
DEU_IMPP5,CHE_DEM01
ESP_IMPP1,AUT_DEM01
ESP_IMPP1,BEL_DEM01
ESP_IMPP1,BGR_DEM01
ESP_IMPP1,HRV_DEM01
ESP_IMPP1,CZE_DEM01
ESP_IMPP1,DNK_DEM01
ESP_IMPP1,EST_DEM01
ESP_IMPP1,FIN_DEM01
ESP_IMPP1,FRA_DEM01
ESP_IMPP1,DEU_DEM01
ESP_IMPP1,GRC_DEM01
ESP_IMPP1,HUN_DEM01
ESP_IMPP1,ITA_DEM01
ESP_IMPP1,LVA_DEM01
ESP_IMPP1,LTU_DEM01
ESP_IMPP1,LUX_DEM01
ESP_IMPP1,NLD_DEM01
ESP_IMPP1,POL_DEM01
ESP_IMPP1,PRT_DEM01
ESP_IMPP1,ROU_DEM01
ESP_IMPP1,SVK_DEM01
ESP_IMPP1,SVN_DEM01
ESP_IMPP1,ESP_DEM01
ESP_IMPP1,SWE_DEM01
ESP_IMPP1,GBR_DEM01
ESP_IMPP1,NOR_DEM01
ESP_IMPP1,CHE_DEM01
ESP_IMPP2,AUT_DEM01
ESP_IMPP2,BEL_DEM01
ESP_IMPP2,BGR_DEM01
ESP_IMPP2,HRV_DEM01
ESP_IMPP2,CZE_DEM01
ESP_IMPP2,DNK_DEM01
ESP_IMPP2,EST_DEM01
ESP_IMPP2,FIN_DEM01
ESP_IMPP2,FRA_DEM01
ESP_IMPP2,DEU_DEM01
ESP_IMPP2,GRC_DEM01
ESP_IMPP2,HUN_DEM01
ESP_IMPP2,ITA_DEM01
ESP_IMPP2,LVA_DEM01
ESP_IMPP2,LTU_DEM01
ESP_IMPP2,LUX_DEM01
ESP_IMPP2,NLD_DEM01
ESP_IMPP2,POL_DEM01
ESP_IMPP2,PRT_DEM01
ESP_IMPP2,ROU_DEM01
ESP_IMPP2,SVK_DEM01
ESP_IMPP2,SVN_DEM01
ESP_IMPP2,ESP_DEM01
ESP_IMPP2,SWE_DEM01
ESP_IMPP2,GBR_DEM01
ESP_IMPP2,NOR_DEM01
ESP_IMPP2,CHE_DEM01
EST_IMPP1,AUT_DEM01
EST_IMPP1,BEL_DEM01
EST_IMPP1,BGR_DEM01
EST_IMPP1,HRV_DEM01
EST_IMPP1,CZE_DEM01
EST_IMPP1,DNK_DEM01
EST_IMPP1,EST_DEM01
EST_IMPP1,FIN_DEM01
EST_IMPP1,FRA_DEM01
EST_IMPP1,DEU_DEM01
EST_IMPP1,GRC_DEM01
EST_IMPP1,HUN_DEM01
EST_IMPP1,ITA_DEM01
EST_IMPP1,LVA_DEM01
EST_IMPP1,LTU_DEM01
EST_IMPP1,LUX_DEM01
EST_IMPP1,NLD_DEM01
EST_IMPP1,POL_DEM01
EST_IMPP1,PRT_DEM01
EST_IMPP1,ROU_DEM01
EST_IMPP1,SVK_DEM01
EST_IMPP1,SVN_DEM01
EST_IMPP1,ESP_DEM01
EST_IMPP1,SWE_DEM01
EST_IMPP1,GBR_DEM01
EST_IMPP1,NOR_DEM01
EST_IMPP1,CHE_DEM01
EST_IMPP2,AUT_DEM01
EST_IMPP2,BEL_DEM01
EST_IMPP2,BGR_DEM01
EST_IMPP2,HRV_DEM01
EST_IMPP2,CZE_DEM01
EST_IMPP2,DNK_DEM01
EST_IMPP2,EST_DEM01
EST_IMPP2,FIN_DEM01
EST_IMPP2,FRA_DEM01
EST_IMPP2,DEU_DEM01
EST_IMPP2,GRC_DEM01
EST_IMPP2,HUN_DEM01
EST_IMPP2,ITA_DEM01
EST_IMPP2,LVA_DEM01
EST_IMPP2,LTU_DEM01
EST_IMPP2,LUX_DEM01
EST_IMPP2,NLD_DEM01
EST_IMPP2,POL_DEM01
EST_IMPP2,PRT_DEM01
EST_IMPP2,ROU_DEM01
EST_IMPP2,SVK_DEM01
EST_IMPP2,SVN_DEM01
EST_IMPP2,ESP_DEM01
EST_IMPP2,SWE_DEM01
EST_IMPP2,GBR_DEM01
EST_IMPP2,NOR_DEM01
EST_IMPP2,CHE_DEM01
FIN_IMPP1,AUT_DEM01
FIN_IMPP1,BEL_DEM01
FIN_IMPP1,BGR_DEM01
FIN_IMPP1,HRV_DEM01
FIN_IMPP1,CZE_DEM01
FIN_IMPP1,DNK_DEM01
FIN_IMPP1,EST_DEM01
FIN_IMPP1,FIN_DEM01
FIN_IMPP1,FRA_DEM01
FIN_IMPP1,DEU_DEM01
FIN_IMPP1,GRC_DEM01
FIN_IMPP1,HUN_DEM01
FIN_IMPP1,ITA_DEM01
FIN_IMPP1,LVA_DEM01
FIN_IMPP1,LTU_DEM01
FIN_IMPP1,LUX_DEM01
FIN_IMPP1,NLD_DEM01
FIN_IMPP1,POL_DEM01
FIN_IMPP1,PRT_DEM01
FIN_IMPP1,ROU_DEM01
FIN_IMPP1,SVK_DEM01
FIN_IMPP1,SVN_DEM01
FIN_IMPP1,ESP_DEM01
FIN_IMPP1,SWE_DEM01
FIN_IMPP1,GBR_DEM01
FIN_IMPP1,NOR_DEM01
FIN_IMPP1,CHE_DEM01
FRA_IMPP1,AUT_DEM01
FRA_IMPP1,BEL_DEM01
FRA_IMPP1,BGR_DEM01
FRA_IMPP1,HRV_DEM01
FRA_IMPP1,CZE_DEM01
FRA_IMPP1,DNK_DEM01
FRA_IMPP1,EST_DEM01
FRA_IMPP1,FIN_DEM01
FRA_IMPP1,FRA_DEM01
FRA_IMPP1,DEU_DEM01
FRA_IMPP1,GRC_DEM01
FRA_IMPP1,HUN_DEM01
FRA_IMPP1,ITA_DEM01
FRA_IMPP1,LVA_DEM01
FRA_IMPP1,LTU_DEM01
FRA_IMPP1,LUX_DEM01
FRA_IMPP1,NLD_DEM01
FRA_IMPP1,POL_DEM01
FRA_IMPP1,PRT_DEM01
FRA_IMPP1,ROU_DEM01
FRA_IMPP1,SVK_DEM01
FRA_IMPP1,SVN_DEM01
FRA_IMPP1,ESP_DEM01
FRA_IMPP1,SWE_DEM01
FRA_IMPP1,GBR_DEM01
FRA_IMPP1,NOR_DEM01
FRA_IMPP1,CHE_DEM01
GBR_IMPP1,AUT_DEM01
GBR_IMPP1,BEL_DEM01
GBR_IMPP1,BGR_DEM01
GBR_IMPP1,HRV_DEM01
GBR_IMPP1,CZE_DEM01
GBR_IMPP1,DNK_DEM01
GBR_IMPP1,EST_DEM01
GBR_IMPP1,FIN_DEM01
GBR_IMPP1,FRA_DEM01
GBR_IMPP1,DEU_DEM01
GBR_IMPP1,GRC_DEM01
GBR_IMPP1,HUN_DEM01
GBR_IMPP1,ITA_DEM01
GBR_IMPP1,LVA_DEM01
GBR_IMPP1,LTU_DEM01
GBR_IMPP1,LUX_DEM01
GBR_IMPP1,NLD_DEM01
GBR_IMPP1,POL_DEM01
GBR_IMPP1,PRT_DEM01
GBR_IMPP1,ROU_DEM01
GBR_IMPP1,SVK_DEM01
GBR_IMPP1,SVN_DEM01
GBR_IMPP1,ESP_DEM01
GBR_IMPP1,SWE_DEM01
GBR_IMPP1,GBR_DEM01
GBR_IMPP1,NOR_DEM01
GBR_IMPP1,CHE_DEM01
GBR_IMPP2,AUT_DEM01
GBR_IMPP2,BEL_DEM01
GBR_IMPP2,BGR_DEM01
GBR_IMPP2,HRV_DEM01
GBR_IMPP2,CZE_DEM01
GBR_IMPP2,DNK_DEM01
GBR_IMPP2,EST_DEM01
GBR_IMPP2,FIN_DEM01
GBR_IMPP2,FRA_DEM01
GBR_IMPP2,DEU_DEM01
GBR_IMPP2,GRC_DEM01
GBR_IMPP2,HUN_DEM01
GBR_IMPP2,ITA_DEM01
GBR_IMPP2,LVA_DEM01
GBR_IMPP2,LTU_DEM01
GBR_IMPP2,LUX_DEM01
GBR_IMPP2,NLD_DEM01
GBR_IMPP2,POL_DEM01
GBR_IMPP2,PRT_DEM01
GBR_IMPP2,ROU_DEM01
GBR_IMPP2,SVK_DEM01
GBR_IMPP2,SVN_DEM01
GBR_IMPP2,ESP_DEM01
GBR_IMPP2,SWE_DEM01
GBR_IMPP2,GBR_DEM01
GBR_IMPP2,NOR_DEM01
GBR_IMPP2,CHE_DEM01
GRC_IMPP1,AUT_DEM01
GRC_IMPP1,BEL_DEM01
GRC_IMPP1,BGR_DEM01
GRC_IMPP1,HRV_DEM01
GRC_IMPP1,CZE_DEM01
GRC_IMPP1,DNK_DEM01
GRC_IMPP1,EST_DEM01
GRC_IMPP1,FIN_DEM01
GRC_IMPP1,FRA_DEM01
GRC_IMPP1,DEU_DEM01
GRC_IMPP1,GRC_DEM01
GRC_IMPP1,HUN_DEM01
GRC_IMPP1,ITA_DEM01
GRC_IMPP1,LVA_DEM01
GRC_IMPP1,LTU_DEM01
GRC_IMPP1,LUX_DEM01
GRC_IMPP1,NLD_DEM01
GRC_IMPP1,POL_DEM01
GRC_IMPP1,PRT_DEM01
GRC_IMPP1,ROU_DEM01
GRC_IMPP1,SVK_DEM01
GRC_IMPP1,SVN_DEM01
GRC_IMPP1,ESP_DEM01
GRC_IMPP1,SWE_DEM01
GRC_IMPP1,GBR_DEM01
GRC_IMPP1,NOR_DEM01
GRC_IMPP1,CHE_DEM01
HUN_IMPP1,AUT_DEM01
HUN_IMPP1,BEL_DEM01
HUN_IMPP1,BGR_DEM01
HUN_IMPP1,HRV_DEM01
HUN_IMPP1,CZE_DEM01
HUN_IMPP1,DNK_DEM01
HUN_IMPP1,EST_DEM01
HUN_IMPP1,FIN_DEM01
HUN_IMPP1,FRA_DEM01
HUN_IMPP1,DEU_DEM01
HUN_IMPP1,GRC_DEM01
HUN_IMPP1,HUN_DEM01
HUN_IMPP1,ITA_DEM01
HUN_IMPP1,LVA_DEM01
HUN_IMPP1,LTU_DEM01
HUN_IMPP1,LUX_DEM01
HUN_IMPP1,NLD_DEM01
HUN_IMPP1,POL_DEM01
HUN_IMPP1,PRT_DEM01
HUN_IMPP1,ROU_DEM01
HUN_IMPP1,SVK_DEM01
HUN_IMPP1,SVN_DEM01
HUN_IMPP1,ESP_DEM01
HUN_IMPP1,SWE_DEM01
HUN_IMPP1,GBR_DEM01
HUN_IMPP1,NOR_DEM01
HUN_IMPP1,CHE_DEM01
ITA_IMPP1,AUT_DEM01
ITA_IMPP1,BEL_DEM01
ITA_IMPP1,BGR_DEM01
ITA_IMPP1,HRV_DEM01
ITA_IMPP1,CZE_DEM01
ITA_IMPP1,DNK_DEM01
ITA_IMPP1,EST_DEM01
ITA_IMPP1,FIN_DEM01
ITA_IMPP1,FRA_DEM01
ITA_IMPP1,DEU_DEM01
ITA_IMPP1,GRC_DEM01
ITA_IMPP1,HUN_DEM01
ITA_IMPP1,ITA_DEM01
ITA_IMPP1,LVA_DEM01
ITA_IMPP1,LTU_DEM01
ITA_IMPP1,LUX_DEM01
ITA_IMPP1,NLD_DEM01
ITA_IMPP1,POL_DEM01
ITA_IMPP1,PRT_DEM01
ITA_IMPP1,ROU_DEM01
ITA_IMPP1,SVK_DEM01
ITA_IMPP1,SVN_DEM01
ITA_IMPP1,ESP_DEM01
ITA_IMPP1,SWE_DEM01
ITA_IMPP1,GBR_DEM01
ITA_IMPP1,NOR_DEM01
ITA_IMPP1,CHE_DEM01
ITA_IMPP2,AUT_DEM01
ITA_IMPP2,BEL_DEM01
ITA_IMPP2,BGR_DEM01
ITA_IMPP2,HRV_DEM01
ITA_IMPP2,CZE_DEM01
ITA_IMPP2,DNK_DEM01
ITA_IMPP2,EST_DEM01
ITA_IMPP2,FIN_DEM01
ITA_IMPP2,FRA_DEM01
ITA_IMPP2,DEU_DEM01
ITA_IMPP2,GRC_DEM01
ITA_IMPP2,HUN_DEM01
ITA_IMPP2,ITA_DEM01
ITA_IMPP2,LVA_DEM01
ITA_IMPP2,LTU_DEM01
ITA_IMPP2,LUX_DEM01
ITA_IMPP2,NLD_DEM01
ITA_IMPP2,POL_DEM01
ITA_IMPP2,PRT_DEM01
ITA_IMPP2,ROU_DEM01
ITA_IMPP2,SVK_DEM01
ITA_IMPP2,SVN_DEM01
ITA_IMPP2,ESP_DEM01
ITA_IMPP2,SWE_DEM01
ITA_IMPP2,GBR_DEM01
ITA_IMPP2,NOR_DEM01
ITA_IMPP2,CHE_DEM01
LTU_IMPP1,AUT_DEM01
LTU_IMPP1,BEL_DEM01
LTU_IMPP1,BGR_DEM01
LTU_IMPP1,HRV_DEM01
LTU_IMPP1,CZE_DEM01
LTU_IMPP1,DNK_DEM01
LTU_IMPP1,EST_DEM01
LTU_IMPP1,FIN_DEM01
LTU_IMPP1,FRA_DEM01
LTU_IMPP1,DEU_DEM01
LTU_IMPP1,GRC_DEM01
LTU_IMPP1,HUN_DEM01
LTU_IMPP1,ITA_DEM01
LTU_IMPP1,LVA_DEM01
LTU_IMPP1,LTU_DEM01
LTU_IMPP1,LUX_DEM01
LTU_IMPP1,NLD_DEM01
LTU_IMPP1,POL_DEM01
LTU_IMPP1,PRT_DEM01
LTU_IMPP1,ROU_DEM01
LTU_IMPP1,SVK_DEM01
LTU_IMPP1,SVN_DEM01
LTU_IMPP1,ESP_DEM01
LTU_IMPP1,SWE_DEM01
LTU_IMPP1,GBR_DEM01
LTU_IMPP1,NOR_DEM01
LTU_IMPP1,CHE_DEM01
POL_IMPP1,AUT_DEM01
POL_IMPP1,BEL_DEM01
POL_IMPP1,BGR_DEM01
POL_IMPP1,HRV_DEM01
POL_IMPP1,CZE_DEM01
POL_IMPP1,DNK_DEM01
POL_IMPP1,EST_DEM01
POL_IMPP1,FIN_DEM01
POL_IMPP1,FRA_DEM01
POL_IMPP1,DEU_DEM01
POL_IMPP1,GRC_DEM01
POL_IMPP1,HUN_DEM01
POL_IMPP1,ITA_DEM01
POL_IMPP1,LVA_DEM01
POL_IMPP1,LTU_DEM01
POL_IMPP1,LUX_DEM01
POL_IMPP1,NLD_DEM01
POL_IMPP1,POL_DEM01
POL_IMPP1,PRT_DEM01
POL_IMPP1,ROU_DEM01
POL_IMPP1,SVK_DEM01
POL_IMPP1,SVN_DEM01
POL_IMPP1,ESP_DEM01
POL_IMPP1,SWE_DEM01
POL_IMPP1,GBR_DEM01
POL_IMPP1,NOR_DEM01
POL_IMPP1,CHE_DEM01
POL_IMPP2,AUT_DEM01
POL_IMPP2,BEL_DEM01
POL_IMPP2,BGR_DEM01
POL_IMPP2,HRV_DEM01
POL_IMPP2,CZE_DEM01
POL_IMPP2,DNK_DEM01
POL_IMPP2,EST_DEM01
POL_IMPP2,FIN_DEM01
POL_IMPP2,FRA_DEM01
POL_IMPP2,DEU_DEM01
POL_IMPP2,GRC_DEM01
POL_IMPP2,HUN_DEM01
POL_IMPP2,ITA_DEM01
POL_IMPP2,LVA_DEM01
POL_IMPP2,LTU_DEM01
POL_IMPP2,LUX_DEM01
POL_IMPP2,NLD_DEM01
POL_IMPP2,POL_DEM01
POL_IMPP2,PRT_DEM01
POL_IMPP2,ROU_DEM01
POL_IMPP2,SVK_DEM01
POL_IMPP2,SVN_DEM01
POL_IMPP2,ESP_DEM01
POL_IMPP2,SWE_DEM01
POL_IMPP2,GBR_DEM01
POL_IMPP2,NOR_DEM01
POL_IMPP2,CHE_DEM01
POL_IMPP3,AUT_DEM01
POL_IMPP3,BEL_DEM01
POL_IMPP3,BGR_DEM01
POL_IMPP3,HRV_DEM01
POL_IMPP3,CZE_DEM01
POL_IMPP3,DNK_DEM01
POL_IMPP3,EST_DEM01
POL_IMPP3,FIN_DEM01
POL_IMPP3,FRA_DEM01
POL_IMPP3,DEU_DEM01
POL_IMPP3,GRC_DEM01
POL_IMPP3,HUN_DEM01
POL_IMPP3,ITA_DEM01
POL_IMPP3,LVA_DEM01
POL_IMPP3,LTU_DEM01
POL_IMPP3,LUX_DEM01
POL_IMPP3,NLD_DEM01
POL_IMPP3,POL_DEM01
POL_IMPP3,PRT_DEM01
POL_IMPP3,ROU_DEM01
POL_IMPP3,SVK_DEM01
POL_IMPP3,SVN_DEM01
POL_IMPP3,ESP_DEM01
POL_IMPP3,SWE_DEM01
POL_IMPP3,GBR_DEM01
POL_IMPP3,NOR_DEM01
POL_IMPP3,CHE_DEM01
ROU_IMPP1,AUT_DEM01
ROU_IMPP1,BEL_DEM01
ROU_IMPP1,BGR_DEM01
ROU_IMPP1,HRV_DEM01
ROU_IMPP1,CZE_DEM01
ROU_IMPP1,DNK_DEM01
ROU_IMPP1,EST_DEM01
ROU_IMPP1,FIN_DEM01
ROU_IMPP1,FRA_DEM01
ROU_IMPP1,DEU_DEM01
ROU_IMPP1,GRC_DEM01
ROU_IMPP1,HUN_DEM01
ROU_IMPP1,ITA_DEM01
ROU_IMPP1,LVA_DEM01
ROU_IMPP1,LTU_DEM01
ROU_IMPP1,LUX_DEM01
ROU_IMPP1,NLD_DEM01
ROU_IMPP1,POL_DEM01
ROU_IMPP1,PRT_DEM01
ROU_IMPP1,ROU_DEM01
ROU_IMPP1,SVK_DEM01
ROU_IMPP1,SVN_DEM01
ROU_IMPP1,ESP_DEM01
ROU_IMPP1,SWE_DEM01
ROU_IMPP1,GBR_DEM01
ROU_IMPP1,NOR_DEM01
ROU_IMPP1,CHE_DEM01
